,a2c_with_rc,a2c_no_rc,sac_with_rc,sac_no_rc,mean var,dji
2022-05-05,1120897.9955260966,938821.2502383157,1025568.4904181329,926332.1285805206,930649.7369857059,961298.3059943506
2022-05-06,1128896.3675977062,938927.9219173624,1017100.1061179009,923698.9951042633,927757.8414858669,958425.9546491443
2022-05-09,1114708.5133555643,922031.0614783365,1003421.7745673028,905918.3786606293,910094.9575992653,939383.15626133
2022-05-10,1107040.2750991709,925180.2385364267,1000727.4130865899,901340.0459465485,910162.5799661204,936908.1273170502
2022-05-11,1104616.812559498,906253.5854808846,995605.8747259942,889899.2560982208,885222.2428950832,927392.7024682808
2022-05-12,1110245.4266075022,899030.2158156548,997136.3553091851,885717.9517197113,879717.1530039727,924368.5458580491
2022-05-13,1116977.506288212,915174.9047425272,1008850.5775076714,899849.8854965668,901449.4056487535,937954.548092568
2022-05-16,1122748.8358322794,912277.0412401774,1008737.6692206231,897944.5295929413,899829.7849854131,938734.1147852638
2022-05-17,1124575.5595986063,932374.253958317,1026343.5788962212,908513.6726440887,914506.9360464461,951294.9762926606
2022-05-18,1084828.5638977701,903587.3455994608,996552.9461600152,875472.9859489899,868538.38365737,917370.1410650994
2022-05-19,1071701.8805125772,901776.4472351266,988149.2663122979,877449.0684341507,866663.9246763142,910467.6102869802
2022-05-20,1082386.0123517571,901845.9565280802,993384.4768149224,875434.9568962173,872338.2928390363,910723.0846647779
2022-05-23,1099493.8076136287,923196.7151626627,1016471.4779745904,890379.4454216079,885534.453068503,928736.5887331362
2022-05-24,1118575.4637682613,919902.4292003213,1013036.8160406915,889944.7270263748,883750.1496367268,930145.9652004068
2022-05-25,1121853.408756512,923337.5746995126,1015695.7378165093,896230.7985176162,890484.5006946618,935729.4174706239
2022-05-26,1136764.2917139705,939296.1429919435,1029874.0510947076,914687.6731361465,910056.4232116148,950788.0673323491
2022-05-27,1152619.1502535518,957871.6042193605,1046869.9273382989,929813.2328208999,930672.1299466335,967561.4680456745
2022-05-31,1148304.111454266,954345.056871338,1039235.995583233,923437.0336669998,918614.823053481,961069.6877204106
2022-06-01,1139464.2588083919,945781.5929927065,1027339.2565848199,914020.7351173477,916200.9951515474,955916.5020971658
2022-06-02,1142141.0456049617,951286.9954318239,1041595.4446112481,928293.0436920242,933644.7623503902,968590.4209739799
